ISD,Admin,Grade,Did Not Meet - %,Approaches - %,Meets - %,Masters - %,Org Id,Test Type
GRAPELAND ISD,Spring 2022,3,20,80,53,23,113902,STAAR - Reading
GRAPEVINE-COLLEYVILLE ISD,Spring 2022,3,13,87,67,48,220906,STAAR - Reading
GREAT HEARTS TEXAS,Spring 2022,3,13,87,63,38,15835,STAAR - Reading
GREENVILLE ISD,Spring 2022,3,34,66,38,21,116905,STAAR - Reading
GREENWOOD ISD,Spring 2022,3,16,84,52,32,165902,STAAR - Reading
GREGORY-PORTLAND ISD,Spring 2022,3,18,82,52,31,205902,STAAR - Reading
GROESBECK ISD,Spring 2022,3,19,81,49,25,147902,STAAR - Reading
GROOM ISD,Spring 2022,3,0,100,90,60,33901,STAAR - Reading
GROVETON ISD,Spring 2022,3,27,73,46,21,228901,STAAR - Reading
GRUVER ISD,Spring 2022,3,5,95,80,40,98901,STAAR - Reading
GUNTER ISD,Spring 2022,3,10,90,59,34,91917,STAAR - Reading
GUSTINE ISD,Spring 2022,3,11,89,56,33,47903,STAAR - Reading
GUTHRIE CSD,Spring 2022,3,0,100,100,43,135001,STAAR - Reading
HALE CENTER ISD,Spring 2022,3,10,90,39,27,95903,STAAR - Reading
HALLETTSVILLE ISD,Spring 2022,3,17,83,53,31,143901,STAAR - Reading
HALLSBURG ISD,Spring 2022,3,5,95,53,16,161924,STAAR - Reading
HALLSVILLE ISD,Spring 2022,3,22,78,49,29,102904,STAAR - Reading
HAMILTON ISD,Spring 2022,3,17,83,56,24,97902,STAAR - Reading
GODLEY ISD,Spring 2022,3,20,80,52,27,126911,STAAR - Reading
GOLD BURG ISD,Spring 2022,3,14,86,71,29,169906,STAAR - Reading
GOLDEN RULE CHARTER SCHOOL (057835),Spring 2022,3,15,85,56,35,57835,STAAR - Reading
GOLDTHWAITE ISD,Spring 2022,3,5,95,71,50,167901,STAAR - Reading
GOLIAD ISD,Spring 2022,3,20,80,49,22,88902,STAAR - Reading
GONZALES ISD,Spring 2022,3,30,70,39,17,89901,STAAR - Reading
GOODRICH ISD,Spring 2022,3,38,62,33,19,187903,STAAR - Reading
GOODWATER MONTESSORI SCHOOL (246802),Spring 2022,3,42,58,50,31,246802,STAAR - Reading
GOOSE CREEK CISD,Spring 2022,3,26,74,48,26,101911,STAAR - Reading
GORDON ISD,Spring 2022,3,8,92,62,38,182901,STAAR - Reading
GORMAN ISD,Spring 2022,3,5,95,82,45,67904,STAAR - Reading
GRADY ISD,Spring 2022,3,0,100,91,64,156905,STAAR - Reading
GRAFORD ISD,Spring 2022,3,44,56,28,22,182902,STAAR - Reading
GRAHAM ISD,Spring 2022,3,22,78,50,33,252901,STAAR - Reading
GRANBURY ISD,Spring 2022,3,16,84,62,42,111901,STAAR - Reading
GRAND PRAIRIE ISD,Spring 2022,3,22,78,53,31,57910,STAAR - Reading
GRAND SALINE ISD,Spring 2022,3,26,74,43,22,234904,STAAR - Reading
GRANDFALLS-ROYALTY ISD,Spring 2022,3,38,62,23,23,238904,STAAR - Reading
GRANDVIEW ISD,Spring 2022,3,12,88,68,36,126904,STAAR - Reading
GRANDVIEW-HOPKINS ISD,Spring 2022,3,0,0,0,0,90905,STAAR - Reading
GAINESVILLE ISD,Spring 2022,3,42,58,37,17,49901,STAAR - Reading
GALENA PARK ISD (101910),Spring 2022,3,23,77,46,24,101910,STAAR - Reading
GALVESTON ISD,Spring 2022,3,22,78,49,29,84902,STAAR - Reading
GANADO ISD,Spring 2022,3,18,82,70,46,120902,STAAR - Reading
GARLAND ISD,Spring 2022,3,22,78,52,30,57909,STAAR - Reading
GARNER ISD (184911),Spring 2022,3,36,64,41,32,184911,STAAR - Reading
GARRISON ISD,Spring 2022,3,11,89,70,46,174903,STAAR - Reading
GARY ISD,Spring 2022,3,18,82,55,34,183904,STAAR - Reading
GATESVILLE ISD,Spring 2022,3,12,88,57,36,50902,STAAR - Reading
GATEWAY CHARTER ACADEMY (057831),Spring 2022,3,49,51,26,6,57831,STAAR - Reading
GAUSE ISD,Spring 2022,3,7,93,86,21,166902,STAAR - Reading
GEORGE GERVIN ACADEMY (015802),Spring 2022,3,58,42,23,10,15802,STAAR - Reading
GEORGE WEST ISD,Spring 2022,3,10,90,75,52,149901,STAAR - Reading
GEORGETOWN ISD,Spring 2022,3,25,75,49,30,246904,STAAR - Reading
