ISD,Admin,Grade,Did Not Meet - %,Approaches - %,Meets - %,Masters - %,Org Id,Test Type,Approaches,Meets,Masters
CENTRAL ISD,Spring 2022,3,27,73,43,23,3907,STAAR - Reading,30,20,23
CHANNELVIEW ISD,Spring 2022,3,32,68,40,19,101905,STAAR - Reading,28,21,19
CHANNING ISD,Spring 2022,3,47,53,35,18,103901,STAAR - Reading,18,17,18
CHAPARRAL STAR ACADEMY (227814),Spring 2022,3,4,96,73,38,227814,STAAR - Reading,23,35,38
CHAPEL HILL ACADEMY (220815),Spring 2022,3,46,54,29,21,220815,STAAR - Reading,25,8,21
CHAPEL HILL ISD (212909),Spring 2022,3,26,74,52,32,212909,STAAR - Reading,22,20,32
CHAPEL HILL ISD (225906),Spring 2022,3,5,95,78,47,225906,STAAR - Reading,17,31,47
CHARLOTTE ISD,Spring 2022,3,38,62,33,21,7901,STAAR - Reading,29,12,21
CHEROKEE ISD,Spring 2022,3,0,100,86,71,206903,STAAR - Reading,14,15,71
CHESTER ISD,Spring 2022,3,14,86,71,29,229906,STAAR - Reading,15,42,29
CHICO ISD,Spring 2022,3,25,75,43,23,249904,STAAR - Reading,32,20,23
CHILDRESS ISD,Spring 2022,3,3,97,67,39,38901,STAAR - Reading,30,28,39
CHILLICOTHE ISD,Spring 2022,3,56,44,12,6,99902,STAAR - Reading,32,6,6
CHILTON ISD,Spring 2022,3,17,82,23,12,73901,STAAR - Reading,59,11,12
CHINA SPRING ISD,Spring 2022,3,15,85,66,42,161920,STAAR - Reading,19,24,42
CHIRENO ISD,Spring 2022,3,33,67,30,11,174901,STAAR - Reading,37,19,11
CALLISBURG ISD,Spring 2022,3,27,73,47,30,49905,STAAR - Reading,26,17,30
CALVERT ISD,Spring 2022,3,57,43,0,0,198902,STAAR - Reading,43,0,0
CAMERON ISD,Spring 2022,3,22,78,40,18,166901,STAAR - Reading,38,22,18
CAMPBELL ISD,Spring 2022,3,42,58,33,17,116910,STAAR - Reading,25,16,17
CANADIAN ISD,Spring 2022,3,2,98,62,31,106901,STAAR - Reading,36,31,31
CANTON ISD,Spring 2022,3,10,90,64,39,234902,STAAR - Reading,26,25,39
CANUTILLO ISD,Spring 2022,3,16,84,62,33,71907,STAAR - Reading,22,29,33
CANYON ISD,Spring 2022,3,11,89,64,41,191901,STAAR - Reading,25,23,41
CARLISLE ISD,Spring 2022,3,14,86,56,28,201913,STAAR - Reading,30,28,28
CARRIZO SPRINGS CISD,Spring 2022,3,31,69,45,25,64903,STAAR - Reading,24,20,25
CARROLL ISD,Spring 2022,3,2,98,90,72,220919,STAAR - Reading,8,18,72
CARROLLTON-FARMERS BRANCH ISD,Spring 2022,3,22,78,54,34,57903,STAAR - Reading,24,20,34
CARTHAGE ISD,Spring 2022,3,17,83,49,31,183902,STAAR - Reading,34,18,31
CASTLEBERRY ISD,Spring 2022,3,28,72,43,22,220917,STAAR - Reading,29,21,22
CAYUGA ISD,Spring 2022,3,17,82,72,53,1902,STAAR - Reading,10,19,53
CEDAR HILL ISD,Spring 2022,3,40,60,34,18,57904,STAAR - Reading,26,16,18
CEDARS INTERNATIONAL ACADEMY (227817),Spring 2022,3,45,55,24,12,227817,STAAR - Reading,31,12,12
CELESTE ISD,Spring 2022,3,32,68,35,19,116902,STAAR - Reading,33,16,19
CELINA ISD,Spring 2022,3,11,89,70,49,43903,STAAR - Reading,19,21,49
CENTER ISD,Spring 2022,3,27,73,43,20,210901,STAAR - Reading,30,23,20
BRUCEVILLE-EDDY ISD,Spring 2022,3,19,81,38,24,161919,STAAR - Reading,43,14,24
BRYAN ISD,Spring 2022,3,27,73,45,26,21902,STAAR - Reading,28,19,26
BRYSON ISD,Spring 2022,3,33,67,48,24,119901,STAAR - Reading,19,24,24
