OBJECTID,STATEFP,ELSDLEA,SCSDLEA,UNSDLEA,SDADMLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR,Shape__Area,Shape__Length
3396,40, , ,06180, ,4006180,Calera Public Schools,00,PK,12,G5420, ,E,121203502,1764305,+33.9348785,-096.4311434,2022,2021-2022,0.011990761827974,0.562990439500455
3397,40, , ,27640, ,4027640,Silo Public Schools,00,PK,12,G5420, ,E,276207900,36801355,+34.0526195,-096.4883898,2022,2021-2022,0.0305615016209231,1.24236714318853
3398,40, , ,08040, ,4008040,Cleveland Public Schools,00,PK,12,G5420, ,E,428196087,43519199,+36.2489651,-096.4764106,2022,2021-2022,0.0473030933599148,1.61390740910215
3399,40, , ,04630, ,4004630,Blackwell Public Schools,00,PK,12,G5420, ,E,296025074,147657,+36.7896662,-097.3502126,2022,2021-2022,0.0299035630996514,1.06824498175796
3400,40, , ,17880, ,4017880,Little Axe Public Schools,00,PK,12,G5420, ,E,139399489,8205069,+35.2683383,-097.1900945,2022,2021-2022,0.0146209059989815,0.577498117524948
3401,40, , ,21720, ,4021720,Norman Public Schools,00,PK,12,G5420, ,E,316778713,16836275,+35.2233390,-097.4034725,2022,2021-2022,0.0330310163431022,1.2957225941626
3402,40, , ,21540, ,4021540,Newkirk Public Schools,00,PK,12,G5420, ,E,864208488,6979215,+36.9194744,-097.0810872,2022,2021-2022,0.0881072225040498,2.65942142980029
3403,40, , ,21630, ,4021630,Noble Public Schools,00,KG,12,G5420, ,E,301272121,5423813,+35.1383359,-097.2757834,2022,2021-2022,0.0303327817703121,0.944069758735984
3404,40, , ,27840, ,4027840,Smithville Public Schools,00,PK,12,G5420, ,E,991463404,4448233,+34.4918132,-094.6738705,2022,2021-2022,0.0977356842868176,1.58276428299197
3405,40, , ,14080, ,4014080,Haworth Public Schools,00,PK,12,G5420, ,E,711251855,16765728,+33.8039777,-094.6092424,2022,2021-2022,0.0708802795270458,1.89158086334586
3406,40, , ,03660, ,4003660,Battiest Public Schools,00,PK,12,G5420, ,E,1025017187,3875364,+34.3440083,-094.9405938,2022,2021-2022,0.100829833669195,1.95164642329301
3407,40, , ,15370, ,4015370,Idabel Public Schools,00,PK,12,G5420, ,E,313775258,15749528,+33.8334794,-094.8570896,2022,2021-2022,0.0320956904979539,1.71040480661551
3408,40, , ,10440, ,4010440,Eagletown Public Schools,00,PK,12,G5420, ,E,717667395,58201739,+34.1689324,-094.5797425,2022,2021-2022,0.0758594801250183,1.38557823179762
3409,40, , ,06270, ,4006270,Calvin Public Schools,00,PK,12,G5420, ,E,397561539,3194766,+34.8814948,-096.2280525,2022,2021-2022,0.0395211479851696,1.10456847435718
3410,40, , ,05760, ,4005760,Buffalo Public Schools,00,PK,12,G5420, ,E,1377602453,2273437,+36.8391956,-099.5744078,2022,2021-2022,0.13940035502651,2.29676617517406
3411,40, , ,00782, ,4000782,Graham-Dustin Public Schools,00,PK,12,G5420, ,E,351650527,5800415,+35.2694467,-096.0195648,2022,2021-2022,0.0354107262894559,1.6491147709328
3412,40, , ,11160, ,4011160,Eufaula Public Schools,00,KG,12,G5420, ,E,267069334,96587809,+35.2984164,-095.6316132,2022,2021-2022,0.0360344055677615,1.30475015785642
3413,40, , ,13680, ,4013680,Hanna Public Schools,00,KG,12,G5420, ,E,280594500,9007275,+35.2496174,-095.8695039,2022,2021-2022,0.028680680106163,1.06945851953353
3414,40, , ,02880, ,4002880,Alva Public Schools,00,PK,12,G5420, ,E,1638469492,2305559,+36.7902162,-098.6932105,2022,2021-2022,0.165660026592604,2.7240200063691
3415,40, , ,07410, ,4007410,Cherokee Public Schools,00,PK,12,G5420, ,E,465033589,313514,+36.7291584,-098.4042002,2022,2021-2022,0.0469455829613707,1.42854242892853
3416,40, , ,00013, ,4000013,Timberlake Public Schools,00,PK,12,G5420, ,E,1002696794,38585193,+36.6428744,-098.1686412,2022,2021-2022,0.104926659338389,2.26080152910446
